"TARGET","FixedAcidity","VolatileAcidity","CitricAcid","ResidualSugar","Chlorides","FreeSulfurDioxide","TotalSulfurDioxide","Density","pH","Sulphates","Alcohol","LabelAppeal","AcidIndex","STARS"
4.91158812098769,7.9,-0.42,-1.2,1.6,0.582,201,-205,0.95684,4.2,0.69,11.2,1,2.19722457733622,3
1.54506927708815,6.8,1.19,0.98,1.2,0.034,6,68,1.02652,3.14,0.37,16.8,-1,1.94591014905531,1
3.95225615885201,1.2,0.3,0.21,-27.85,0.041,33,153,0.99244,3.96,1.06,9.2,0,2.07944154167984,3
3.83564181965153,8.4,0.725,0.11,1.9,-0.296,35,63,0.9965,3.19,2.05,9.6,0,2.19722457733622,3
1.7587121763245,8,1.2,-0.26,12.6,-0.351,-98,213,0.97841,3.66,0.56,9.3,0,2.19722457733622,1
1.98295549707209,6.8,1.36,0.3,20.7,0.043,-263,534,1.03284,3.17,0.46,24.4,0,1.94591014905531,1
3.72586812408274,14.3,0.32,0.25,-2.3,0.013,13,349,0.9957,4.65,-1.19,12.2,0,1.79175946922805,2
1.95835425553381,6.6,0.82,0.24,23.8,0.048,55,347,0.97506,3.2,0.38,15.2,0,1.94591014905531,1
4.40427774593902,-4,0.16,0.27,44.4,0.607,227,98,1.03142,2.24,0.34,7.9,1,1.79175946922805,2
4.08129905210021,28.3,0.645,0.03,-7.9,0.086,195,39,0.9969,2.93,-0.53,11.6,0,2.07944154167984,3
1.77006205734616,4.7,0.98,0.35,24.7,0.235,11,-9,0.9926,2.19,0.38,12.4,0,2.19722457733622,1
3.51634135201603,5.8,0.21,0.25,-50.5,0.038,-33,-135,0.96472,3.28,0.49,9.4,0,1.94591014905531,2
3.86083574853455,8.9,0.33,-0.5,61.55,0.038,-234,138,0.96369,3.03,0.09,5.7,0,2.07944154167984,3
4.03976697717972,10.6,-1.02,-0.61,1.1,-0.422,-25,107,0.9923,2.45,-0.34,10.2,0,2.19722457733622,3
3.04219332004468,10.9,1.2,1.22,27.9,0.12,207,17,1.0002,4.2,-1.31,11.7,0,2.484906649788,2
1.12490266278276,8.8,0.2,-0.59,92.4,0.053,167,214,1.026,0.86,0.79,8.8,-2,2.19722457733622,1
1.19653703510227,6.3,1.15,0.24,91.4,0.052,36,135,0.99374,2.52,-1.13,9.4,-2,1.94591014905531,1
5.45884887247653,6.5,0.62,1.82,8,-0.179,35,431,0.97319,2.68,0.47,7.4,2,1.94591014905531,2
4.06992227191745,9.3,0.31,0.31,59.8,0.379,15,89,0.9976,2.48,0.57,6.3,1,2.07944154167984,2
3.56780804935855,0.3,-0.87,-0.8,69.5,0.54,170,83,0.98867,3.09,-0.44,11.7,0,1.94591014905531,2
1.5627669817865,6,0.25,0.28,-37.7,-0.468,37,132,0.99489,4.01,-1.96,9.4,-1,1.94591014905531,1
4.64822821998091,9,0.35,1.5,51.9,0.252,282,150,0.9912,3.35,-0.31,11.63333333,1,1.79175946922805,2
3.40804210511344,8.7,0.31,0.27,5.6,-0.331,91,107,0.96927,3.65,0.52,13.3,0,2.19722457733622,2
1.92087375532523,-0.1,0.32,0.37,1.8,-0.286,13,-184,0.9945,4.55,-0.16,10.5,0,1.94591014905531,1
1.58531230329188,6.6,0.24,0.35,-13.7,0.031,36,135,0.9938,3.24,-1.81,14.5,-1,1.94591014905531,1
1.85687845630579,7.2,0.21,1.15,25.4,0.043,186,213,0.98368,3.64,0.5,9.6,0,2.07944154167984,1
1.45950864634677,7.4,-1.14,0.62,6,0.022,40,125,0.9928,3.13,2.31,5.2,-1,2.07944154167984,1
3.53491255115608,10.6,0.34,0.35,64.2,-0.657,-229,179,0.998,2.87,-2.56,8.3,0,1.94591014905531,2
4.43792516720314,4.6,0.24,-0.66,1.3,0.043,71,462,0.95428,3.19,-1.32,14.7,1,2.07944154167984,2
2.59604628397669,3.9,0.53,1.21,2,0.058,243,-144,1.01599,3.21,-0.86,12.4,-2,2.07944154167984,3
3.38817388818492,16,0.43,0.34,42.2,0.068,-166,104,1.0247,3.19,2.03,9.3,0,1.94591014905531,2
4.26071302203358,15.8,0.86,0.38,41,0.625,7,132,0.98895,3.28,-0.07,12.4,0,1.79175946922805,3
2.35433170755986,-14.7,-0.42,0.31,22.3,0.035,-201,99,0.98914,3.26,-1.28,7.75,1,1.94591014905531,1
1.57229175873605,13.6,0.56,0.93,10,0.037,38,379,0.99642,4.53,0.35,15.7,-1,1.94591014905531,1
4.93311685714852,6.7,0.41,0.15,41.1,0.033,25,-30,0.94975,3.05,-0.4,0.1,1,1.94591014905531,3
1.40208179742527,0.5,0.98,0.53,2.1,-0.487,152,-149,1.01881,2.19,-0.8,6.3,-1,2.19722457733622,1
2.00461082130675,5.8,-0.49,1.78,62.3,0.044,-208,152,0.9961,3.31,-2.01,9.4,0,1.79175946922805,1
1.0317546993052,2.8,0.46,0.44,-66,0.052,4,8,1.05282,3.33,1.67,6.9,-2,2.39789527279837,1
4.3133291800963,12.5,0.43,1.78,3.6,0.048,7,45,0.96801,3.57,0.79,6.4,1,1.94591014905531,2
4.65728120430882,7.4,0.18,0.29,52.2,-0.171,260,366,0.96443,3.54,0.6,10.5,0,2.07944154167984,4
3.91720862432305,7.1,-0.49,-1,46.7,0.033,16,78,0.993,2.91,0.6,5.4,0,2.07944154167984,3
1.73347149526969,3,-1.52,0.46,29.2,0.05,5,13,0.9974,4.32,0.79,10.2,0,2.39789527279837,1
2.83503525439602,8.1,0.24,1.86,11,0.043,41,586,0.98863,3.41,-1.38,10,2,2.19722457733622,1
1.51647465002315,17.1,0.41,0.66,-10.4,-0.983,77,194,0.9976,3.05,0.46,8.7,-1,2.07944154167984,1
1.48518524758264,7.7,-0.96,1.58,1.4,0.608,15,102,0.9929,3.26,0.53,10.4,-1,2.07944154167984,1
1.87970926960881,12.4,0.27,1.42,1.6,0.04,-47,86,1.01383,2.82,-0.22,7.8,0,1.94591014905531,1
3.24897463335766,0.6,2.09,-0.56,2,0.054,225,16,1.01003,2.97,0.63,9.6,0,2.07944154167984,2
1.77304473003099,6.7,1.21,0.28,29,0.286,21,105,0.9949,3.27,0.37,8.6,0,2.07944154167984,1
4.67954034425802,-5.1,0.23,0.36,46.8,0.197,37,130,0.95194,5.1,0.43,10.1,0,1.94591014905531,4
4.35457621252997,7.5,-1.17,0.32,19.8,0.036,25,437,0.9962,2.06,0.03,9.7,1,2.07944154167984,2
4.71462049501542,7.3,0.3,0.29,2.1,0.048,-3,-261,0.98956,5.01,1.36,12.6,0,1.94591014905531,4
1.49013315610197,6.3,1.24,0.32,-18.9,0.04,155,-287,1.02361,3.24,2.18,11.3,-1,1.94591014905531,1
1.95050612389405,10.9,-0.98,-0.74,5.9,0.003,35,88,0.97137,2.88,0.46,8.4,0,1.94591014905531,1
4.17481012665558,1.7,0.41,0.3,3.2,0.03,49,357,0.9927,4.44,-0.39,11.7,0,1.94591014905531,3
2.99975613194098,-4,-1.1,1.35,2.4,-0.808,35,115,0.98936,3.19,0.44,18.8,-1,2.07944154167984,2
1.64230106499085,0.2,0.43,0.11,1.1,0.029,-233,51,0.93069,2.57,0.48,15.5,-1,1.79175946922805,1
2.95835292906368,15.9,1.05,0.35,10.7,0.551,26,239,0.9984,3.6,2.35,9.1,-1,2.19722457733622,3
3.4938866086928,6.8,0.25,2.5,-2.6,0.547,92,123,0.9951,3.03,-2.71,8.6,0,1.94591014905531,2
3.27647337721431,-3.2,1.92,0.42,5.5,-0.334,29,-636,0.9973,3.42,1.31,10.5,0,2.07944154167984,2
2.15646211636114,6.8,0.18,0.3,138.2,-0.195,88,443,0.99808,3.6,0.8,3.6,-2,1.94591014905531,2
4.60654105475337,17.5,0.34,-1.05,3.7,0.174,6,12,0.997,3.19,0.7,12.1,1,2.39789527279837,3
1.79911481939721,7.2,1.74,-0.92,-41.4,0.787,46,121,1.00183,3.44,0.61,9.5,0,1.94591014905531,1
1.5214636003256,9.5,0.88,1.43,6.4,0.057,25,-86,0.97526,3.23,0.45,10.5,-1,1.94591014905531,1
3.48279066766266,12.7,-0.25,0.32,50.1,-0.515,-211,102,0.97956,3.41,0.79,6.1,0,1.94591014905531,2
3.59959834384035,6.2,-1.09,1.68,1,0.031,198,73,0.99032,3.42,0.98,8.7,0,1.94591014905531,2
1.83740100336484,9.1,0.55,0.45,23.9,0.049,-161,228,0.9974,2.11,0.5,6.1,0,1.94591014905531,1
2.03107155513716,-4.4,-0.05,1.46,-9.7,0.047,46,144,0.98881,2.31,-1.28,17.9,0,1.94591014905531,1
3.31918697941562,2.3,-0.03,-1.13,2.1,0.227,8,-266,1.0343,4.09,0.74,11,0,2.07944154167984,2
6.87501532762097,0.5,0.23,0.31,-46.7,-0.286,312,96,0.98613,2.56,0.91,15.6,2,1.94591014905531,3
6.34167383598322,8.4,-0.44,0.56,2.2,0.026,108,104,0.96778,3.38,-1.43,17.1,1,1.94591014905531,4
2.6964409039284,6.8,0.56,0.41,-61.8,0.22,79.5,183,0.99742,2.41,0.78,4.7,-1,1.94591014905531,2
1.53827000827394,10.9,1.13,0.96,1.1,0.556,286,84,0.9927,2.58,0.64,14.4,-1,1.94591014905531,1
3.36250875463812,6.7,1.62,1.33,1.3,0.639,127,150,0.9968,3.22,0.51,9.9,0,1.94591014905531,2
4.16593444676326,7.1,0.32,0.29,43.2,-0.1,20,31,0.99463,3.27,0.64,7.8,1,2.07944154167984,2
1.60998576293304,6.6,-1.14,0.86,-7.9,0.169,-55,-193,0.99734,3.25,0.48,16.2,-1,1.94591014905531,1
3.30502830412807,8.3,-0.48,0.1,67.1,0.081,45,202,0.9983,2.61,0.53,10,0,2.19722457733622,2
5.29671705077002,-1.7,0.01,0.25,-49.4,-0.319,58,54,0.96419,3.27,0.32,15.5,1,2.07944154167984,3
4.77962146083197,-1.7,2.38,0.24,-44.6,0.122,18,147,0.99315,3.42,0.62,10.4,1,2.07944154167984,3
4.16735313164628,7.4,-1.2,-1.02,2.7,-0.355,30,107,0.98127,3.31,0.09,9.9,0,2.07944154167984,3
1.39370322320993,9.2,0.19,0.46,2,0.047,16,49,0.99517,3.09,-0.56,10,-1,2.30258509299405,1
1.52771830270359,8,-1.14,-0.73,65.5,-0.034,41,103,0.99002,3,-0.77,16.4,-1,2.19722457733622,1
1.88246996756141,0.2,0.26,0.26,-40.2,0.036,578,214,0.9986,4.65,0.5,10,0,2.07944154167984,1
1.61426973943531,15.5,0.2,1.37,-42,0.015,-82,-307,0.98493,4.2,0.55,12.05,-1,1.79175946922805,1
1.65290762187767,4.8,0.75,0.28,-24.8,0.134,-239,322,0.96924,3.38,0.45,11.3,-1,1.6094379124341,1
5.5164052733405,8.2,0.22,0.3,1.8,0.432,-173,185,0.9933,3.08,0.5,14.4,1,2.19722457733622,4
2.30202192409446,7.3,-1.09,0.26,61,0.09,7,135,0.9944,3.01,-0.89,5.6,1,2.07944154167984,1
3.33085543415231,-0.4,0.21,0.41,-38.6,-0.43,14,543,0.96566,2.96,0.53,13.4,0,2.30258509299405,2
1.45893040415452,7,0.87,0.4,1.1,0.058,30,93,1.02299,2.23,0.67,12,-1,2.07944154167984,1
2.37957076108515,9.4,2.085,0.2,2.4,0.355,-144,143,0.97286,3.28,0.58,6.8,-1,2.30258509299405,2
4.38046896063967,3.4,0.42,-0.03,2.4,0.061,19,74,0.99184,4.46,-0.27,10.9,1,1.94591014905531,2
2.27551183537823,6.7,0.42,0.46,9.7,0.054,67,-228,1.00612,2.22,0.5,9,1,2.07944154167984,1
3.39598911615031,7.2,0.31,0.26,37.9,0.05,37,157,0.99625,2.7,0.01,11,0,2.07944154167984,2
4.62908748129256,-7.1,0.23,0.56,73.15,0.063,204.5,693,1.00365,4.35,2.11,9.3,1,2.30258509299405,3
1.91077096189787,6.1,-0.23,0.25,6.9,0.054,-25,21,0.9955,3.19,0.4,9.5,0,1.94591014905531,1
3.30564942012446,7.4,-0.43,1.2,43.6,0.037,290,-7,0.96874,3.25,0.37,10.4,-1,2.07944154167984,3
1.98584265380885,6.8,0.3,0.95,84.2,-0.409,45,150,0.94879,3.04,-0.66,11.8,0,1.94591014905531,1
4.08160201383976,6.6,0.88,-0.9,-45.8,0.138,41,168,0.95668,3.2,1.08,8.7,0,1.94591014905531,3
4.24440043571048,16.4,1.32,-0.28,41,0.315,-218,-97,0.9986,2.89,0.5,8.2,1,2.484906649788,3
3.45283122728448,7.3,1.44,2.04,12.8,-0.173,73,253,0.94876,4.19,0.71,13.6,0,2.07944154167984,2
6.61411831071788,7.1,1.85,0.98,33.3,0.045,88,587,0.96586,3.16,0.39,1.4,2,2.07944154167984,4
2.88037221529347,6.5,0.33,0.3,3.8,0.036,190,88,0.9442,3.25,2.01,12.5,-1,1.94591014905531,2
2.35073176950715,7.2,0.92,-0.09,10.4,-0.169,-240,553,0.9459,2.96,-2.32,12,1,2.07944154167984,1
4.42584780816961,7,-0.59,-0.62,2,0.364,10,203,0.98091,3.4,0.47,16.6,1,2.07944154167984,2
1.93561297805641,6.5,0.46,0.41,16.8,0.084,-110,233,0.9923,4.41,-0.98,13.8,0,1.94591014905531,1
2.51738972679482,8.9,1.84,0.51,-45.5,0.052,403,27,0.995,4.33,0.14,9.9,-1,2.30258509299405,2
2.63747526549222,6.8,1.285,1.48,8.5,-0.327,10,-87,1.01657,2.67,1.97,9.5,-1,2.07944154167984,2
1.43342488731812,8.2,1.42,-0.4,1.8,0.047,71,187,1.03856,3.13,0.5,16.8,-1,2.19722457733622,1
3.47871640171362,6.4,0.31,0.66,18.3,-0.258,-152,101,0.9934,3.29,0.38,9,0,1.94591014905531,2
3.92541021972407,19.2,1.84,0.32,-12.4,0.035,-169,-253,0.99144,2.45,0.6,12.9,0,2.07944154167984,3
6.56396776057604,22.7,-0.33,2.56,-46.5,0.054,40,400,1.0338,4.73,1.34,10.8,2,1.94591014905531,3
1.74155393363792,0.4,1.45,0.71,2.3,0.045,295,115,1.00802,3.17,0.43,8.8,0,2.19722457733622,1
3.27473537702742,0.5,0.17,0.31,-19.7,-0.129,13,-233,0.993,2.79,0.37,9.3,0,2.19722457733622,2
2.00914522451602,17.5,-0.07,-0.14,-36.2,0.317,29,113,0.99188,3.13,1.2,18.6,0,1.94591014905531,1
3.16981423894042,8,0.22,0.42,-33.4,0.894,73,589,1.0003,3.81,0.69,8.6,0,2.19722457733622,2
1.53518808166189,11.5,-0.6,0.73,-63,0.052,19,-16,0.9923,3.6,-2.55,11.2,-1,2.07944154167984,1
2.62073672442853,9.3,1.03,0.26,-33.8,0.065,-17,408,1.02106,3.29,1.99,9.8,-1,2.07944154167984,2
2.57783395204258,7,0.21,-0.09,8.5,0.033,31,177,0.9953,3.22,0.56,2.3,-1,2.07944154167984,2
2.91980796302462,7.8,0.16,0.25,1.4,-0.286,214,-42,0.94765,2.82,0.44,11.1,-1,1.94591014905531,2
5.55945211197107,17.1,0.14,0.76,-35.6,0.625,26,-284,1.01779,3.25,0.45,18.1,1,1.79175946922805,3
1.86235432998867,2.3,0.53,0.93,35.6,-0.454,-251,163,1.03814,5.76,0.83,10.3,0,1.94591014905531,1
5.63901678189475,18.1,0.705,0.96,1.8,-0.213,15,63,0.99901,3,1.59,9.5,1,2.07944154167984,4
1.78044282540823,11.4,1.375,0.04,2,0.087,12,67,0.99565,3.61,1.61,9.4,0,2.07944154167984,1
3.4936753743923,6.4,-0.21,3.19,5.3,0.409,57,-15,0.9953,3.31,1.3,9.8,0,1.94591014905531,2
1.84682154863652,-15.4,0.52,0.36,35.9,0.138,41,536,0.95449,3.98,0.38,5.8,0,1.94591014905531,1
4.10457250248489,16,-0.17,-0.18,-85.6,0.282,18,156,0.99666,5.03,1.84,9,0,1.94591014905531,3
3.95168541001015,16.1,0.24,0.29,-61.5,-0.018,17,117,0.99411,3.36,0.68,6.9,0,2.07944154167984,3
3.39721155753047,7,0.42,0.19,0.8,0.071,177,-232,0.99476,3.39,0.56,10.9,0,2.07944154167984,2
4.10231813015674,6.2,0.25,1.97,-13.5,0.046,-196,831,0.99454,3.19,0.58,9.3,0,1.94591014905531,3
6.3172789338068,3,-1.22,1.36,19.3,0.049,-149,-87,0.95998,5.54,1.25,2.5,2,1.94591014905531,3
3.25096254425635,-0.8,1.18,-0.33,-5.4,0.04,83,96,0.9912,3.06,0.61,12.1,0,2.19722457733622,2
3.46144444817044,-7,-0.74,0.33,1.8,-0.298,-232,-279,1.03992,2.66,0.4,18.2,-1,1.94591014905531,3
5.32614649992642,6.9,-1.17,0.38,104.1,0.039,-266,-263,0.9943,4.25,0.42,14.3,1,1.94591014905531,3
4.89582668731534,1,0.23,0.33,30,0.049,153,183,1.04921,4.41,0.9,9.8,1,2.07944154167984,3
1.51700989932372,6.3,0.25,0.44,12.1,0.041,48,-142,0.9968,3.18,0.52,9.5,-1,1.94591014905531,1
4.5718328123742,19.7,-0.79,0.36,17.2,0.039,27,130,0.99946,4.36,-1.11,12.4,1,1.94591014905531,2
2.72364245151134,6.3,-0.33,-0.61,1.2,0.048,35,161,1.00753,3.14,0.56,10.6,-1,2.07944154167984,2
5.72012766951758,6.1,0.23,0.37,7.9,0.02,42,150,0.99488,2.86,0.49,5.4,1,1.94591014905531,4
4.130404589712,5,0.7,-1.47,14.35,0.552,-216,-82,0.9988,2.93,-0.63,12.8,1,2.07944154167984,2
7.61009067555823,5.3,0.38,0.26,3.5,0.035,11,111,0.94238,3.18,0.47,14.1,2,1.94591014905531,4
2.64995048700097,7.3,1.7,0.07,-0.8,-0.161,25,369,0.9948,2.66,-0.92,9.1,-1,2.07944154167984,2
3.48751145126399,6.2,0.25,-2.79,-29.7,0.049,-9.5,568,0.9972,3.19,-0.06,9.9,0,1.94591014905531,2
1.58357072184765,6,0.86,1.81,-23.9,0.038,56,189.5,0.99637,3.59,0.43,10.6,-1,1.79175946922805,1
1.87735658811084,7.5,-0.39,0.56,2.7,0.067,-208,25,1.02427,3.24,-1.18,13.6,0,2.07944154167984,1
1.58980651000389,6.4,0.775,1.24,1.1,-0.244,44,140,1.00548,3.17,-0.34,16.7,-1,1.94591014905531,1
3.16527862499276,2.8,2.74,-0.21,46.1,0.045,-12,-157,0.98664,3.45,-0.21,13.2,0,2.19722457733622,2
3.4247196291639,7.6,-0.46,0.33,2,-0.459,78,483,0.97949,3.39,0.56,5.9,0,2.07944154167984,2
1.81379250361606,0.4,-1.11,-1.13,14.3,-0.1,45,121,0.99816,4.08,0.63,4,0,2.07944154167984,1
2.25129124685036,7.2,1.69,-0.98,-23.1,0,9,343,0.9972,2.65,-1.16,9.6,1,2.07944154167984,1
3.48905096562574,10.4,0.15,0.36,60.5,-0.425,-247,134,1.0164,3.28,-0.18,9.8,0,1.94591014905531,2
2.13686139963278,1.5,0.16,0.27,-41.3,0.496,25,135,0.97707,4.02,-1.07,8.7,-2,2.07944154167984,2
1.87320001430911,6.1,0.34,0.46,2.4,0.029,21,-215,1.02431,3.29,0.6,9.2,0,1.94591014905531,1
5.22841206867981,4,-0.8,3.41,-4.8,-0.496,146,136,0.9932,3.3,0.96,9.8,1,2.07944154167984,3
3.74006453491046,-4,-0.49,0.43,0.9,0.038,149,729,0.98598,3.24,0.46,10.6,0,1.79175946922805,2
3.75757812912745,7.3,1.24,0.08,25,0.057,145,-166,1.04535,2.54,0.36,10.3,0,2.19722457733622,3
1.49280056929665,6.8,-1.89,1.3,46.1,0.531,38,153,0.97853,3.24,-0.22,0.9,-1,1.94591014905531,1
4.62413887097071,7.7,0.44,-1.1,11.2,0.031,343,167,0.97879,3.4,0.43,11.3,0,2.07944154167984,4
2.76987497937994,6.9,0.2,1.88,-22.4,-0.26,78,167,0.99929,3.32,2.15,12.8,-1,2.07944154167984,2
1.99835808129335,11.6,0.585,0.09,61.7,-0.496,14,86,0.99264,3.64,0.94,10,0,1.79175946922805,1
2.80374961442666,28.9,-1.28,-1.1,13.7,0.056,119,76,0.98249,2.1,0.44,8.7,-1,2.07944154167984,2
1.19647872269115,7.4,0.3,0.61,-12.5,0.377,7,116,0.9953,4.27,0.59,9.3,-2,1.94591014905531,1
2.41751143923453,14.7,0.3,0.52,7.5,0.05,467,191,0.99366,3.17,-1.08,6.9,1,1.94591014905531,1
3.60604377326719,10.4,1.01,0.5,2.3,0.297,13,19,0.996,3.1,0.87,11.4,0,2.39789527279837,3
5.12510024073792,5.8,0.6,0.22,1.3,0.046,18,66,0.99307,4.87,0.55,10.3,1,1.94591014905531,3
2.69254552551763,6.1,1.76,-1.1,5,0.042,17,133,1.02882,2.55,-1.13,9.4,-1,1.94591014905531,2
3.66325047122661,5.8,0.19,0.37,1.1,0.279,31,451,0.98942,3.53,0.48,11.4,0,1.79175946922805,2
1.53540738645265,7.4,0.05,0.78,-56.1,0.082,258,82,0.98074,4.52,1.57,14.7,-1,2.07944154167984,1
4.98529256145878,4.9,-1.14,1.25,57,-0.38,31,40,0.9849,3.33,0.44,6.433333333,0,1.79175946922805,4
5.17917003945977,6.2,0.45,1.63,13.1,-0.07,3,-87,0.95659,4.52,0.76,9,1,1.94591014905531,3
3.01856763721968,8,0.43,1.12,12.4,0.168,29,190,1.01594,2.41,2.3,9.2,-1,2.19722457733622,3
2.73347526501865,9.4,-0.585,0.68,-16.3,0.053,3,10,0.95612,2.21,0.71,17.2,-1,2.30258509299405,2
3.50696029219248,17.8,0.61,0,-55.8,0.625,168,8,0.96345,2.54,0.37,10.4,0,1.94591014905531,2
4.38552405910879,6.1,0.3,0.58,119.3,0.049,258,187,0.9927,1.99,0.85,9.5,1,1.94591014905531,2
1.96308589355918,11.6,1.59,0.34,1.6,0.311,33,176,0.9946,2.55,0.98,9.7,-2,2.30258509299405,2
4.45707546020292,9.7,-0.18,0.29,14.4,-0.548,54,-91,0.9991,3.17,1.07,8.9,1,1.94591014905531,2
1.89937869295232,12.6,-1.04,0.28,4.9,0.042,21,155,0.99385,3.36,0.57,10.9,0,2.07944154167984,1
5.39115016904231,7.4,0.18,-0.54,1.5,0.003,-159,316,0.96141,3.43,0.85,16.8,1,1.94591014905531,3
2.80470380729907,0.9,0.34,0.57,2,-0.157,29,134,0.99462,4.04,1.1,10.7,-1,1.94591014905531,2
2.5395136157559,12.6,1.62,-0.46,60.6,0.065,5,253,0.96459,3.27,3.75,11.2,-1,2.19722457733622,2
3.83079474271925,4.6,-2.56,1.41,-61.15,0.045,-86,131,1.00309,4.21,1,11.7,-1,2.07944154167984,4
4.01696869647534,6.8,-0.15,-0.24,3.8,-0.254,16,458,0.9969,3.28,1.93,9.5,0,2.07944154167984,3
1.43429273004033,-0.8,0.28,0.29,42.4,0.051,-121,467,1.06875,3.07,0.99,6,-1,1.94591014905531,1
1.57323845858766,5.9,0.51,1.3,1.4,0.141,52,119,0.9931,4.19,1.73,10.5,-1,1.79175946922805,1
